🇨🇳央视频道,#genre#

CCTV-1综合,rtp://225.1.1.120:5002

CCTV-2财经,rtp://225.1.1.133:5002

CCTV-3综艺,rtp://225.1.1.158:5002

CCTV-4中文国际HD,rtp://225.1.1.150:5002

CCTV-5体育HD,rtp://225.1.1.160:5002
CCTV-5+体育赛事HD,rtp://225.1.1.121:5002
CCTV-16奥林匹克,rtp://225.1.2.237:5002
CCTV-6电影HD,rtp://225.1.1.195:5002
CCTV-7国防军事HD,rtp://225.1.1.138:5002
CCTV-8电视剧HD,rtp://225.1.1.196:5002
CCTV-9记录HD,rtp://225.1.1.119:5002
CCTV-9英文,rtp://225.1.1.55:5002
CCTV-10科教HD,rtp://225.1.1.140:5002
CCTV-11戏曲HD,rtp://225.1.2.192:5002
CCTV-12社会与法HD,rtp://225.1.1.142:5002
CCTV-13新闻HD,rtp://225.1.2.193:5002
CCTV-14少儿HD,rtp://225.1.1.144:5002
CCTV-15音乐HD,rtp://225.1.2.194:5002
CCTV-17农业农村HD,rtp://225.1.2.52:5002
CCTV16,http://117.148.179.157/PLTV/88888888/224/3221233406/index.m3u8
CCTV16,http://117.148.179.157/PLTV/88888888/224/3221233442/index.m3u8
CCTV16,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
CCTV16,http://ccav.smymi.com:4000/rtp/239.93.42.54:5140
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
CCTV16,http://ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV16,http://39.130.202.81:6610/gitv_live/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8
CCTV16,http://39.134.134.87/000000001000/5000000008000023253/index.m3u8
CCTV16,http://39.134.134.82/000000001000/1000000006000233002/index.m3u8
CCTV16,http://39.135.32.28:6610/PLTV/77777777/224/3221225897/index.m3u8?
CCTV16,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226880/index.m3u8CCTV16,http://39.135.129.162/PLTV/88888888/224/3221226581/1.m3u8
CCTV16,http://39.135.129.162/PLTV/88888888/224/3221226581/index.m3u8
CCTV16,http://39.135.129.166/PLTV/88888888/224/3221226773/1.m3u8
CCTV16,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV16,http://112.25.63.197:8080/gitv_live/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8
CCTV16,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232651/index.m3u8
CCTV16,http://117.148.179.55/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232608/1.m3u8
CCTV16,http://117.148.179.55/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232651/1.m3u8
CCTV16,http://117.169.124.36:6610/ysten-businessmobile/live/HD-4000k-1080P-cctv16/.m3u8
CCTV16,http://117.169.124.36:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv16/.m3u8
CCTV16,http://121.18.168.210/livetestcdn.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16,http://182.254.90.234/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV16,http://183.207.248.71/cntv/live1/CCTV-16CQ/HD-8000k-1080P-cctv16
CCTV16,http://223.110.241.137:6610/gitv/live1/G_CCTV-16-CQ/G_CCTV-16-CQ
CCTV16,http://ccav.smymi.com:4000/rtp/239.93.42.53:5140
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226921/index.m3u8
CCTV16,http://live.aishang.ctlcdn.com/00000110240388_1/playlist.m3u8?CONTENTID=00000110240388_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2o%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228112/index.m3u8
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8
CCTV16,http://ott.js.chinamobile.com/TVOD/3/224/3221228112/index.m3u8
CCTV16,http://ott.js.chinamobile.com/TVOD/3/224/3221228144/index.m3u8
CCTV16,https://live.olympicchannelchina.cn/aoyun/4kcctv16_1.m3u8
CCTV16,https://live.olympicchannelchina.cn/aoyun/4kcctv16_1td.m3u8
移动东奥,http://117.148.179.157/PLTV/88888888/224/3221233454/index.m3u8
CCTV-4K超高清,http://ott.js.chinamobile.com/TVOD/3/224/3221228242/index.m3u8
